sid,record_count
1007,25
1008,575
1009,575
1010,25
1011,575
1012,575
1013,153
1014,575
1015,575
1016,2
1017,14
1018,6
1019,67
1020,323
1021,575
1022,575
1023,2
1024,12
1025,27
1026,563
1027,575
1028,575
1029,575
1030,12
1031,153
1032,575
1033,575
1034,575
1035,53
1036,575
1037,575
1038,23
1039,58
1040,26
1041,575
1042,394
1043,575
1044,54
1045,15
1046,575
1047,575
1048,575
1049,575
1050,575
1051,575
1052,49
1053,575
1054,575
1055,575
1056,483
1057,2
1058,26
1059,575
1060,575
1061,49
1062,45
1063,575
1064,57
1065,6
1066,482
1067,24
1068,575
1069,575
1070,2
1071,1
1072,43
1073,5
1074,5
1075,2
1076,575
1077,25
1078,24
1079,3
1080,575
1081,74
1082,575
1083,6
1084,6
1085,63
1086,575
1087,12
1088,575
1089,54
1090,12
1091,575
1092,575
1093,7
1094,566
1095,575
1096,135
1097,97
1100,575
1101,19
1103,575
1104,63
1105,21
1106,2
1107,131
1108,24
1155,9
1160,1
1168,3
1169,3
1170,18
1173,4
1174,25
1175,4
